,Season,Player,Market_Value,Position,Passes,Big Chance Missed,Clearence,CleanSheet,Tackles,Goals,Shoots,Assists,Touches,Minutes
151,2013,Fabian Delph,0.0,Midfielder,1587.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2215.0,0.0
152,2016,Yaya Touré,0.0,Midfielder,1798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074.0,0.0
153,2015,Yaya Touré,0.0,Midfielder,1838.0,0.0,0.0,0.0,0.0,6.0,77.0,5.0,2263.0,0.0
154,2014,Yaya Touré,0.0,Midfielder,2412.0,0.0,0.0,0.0,0.0,10.0,89.0,0.0,2777.0,0.0
155,2013,Yaya Touré,0.0,Midfielder,2502.0,0.0,0.0,0.0,0.0,20.0,64.0,9.0,2873.0,0.0
156,2012,Yaya Touré,0.0,Midfielder,2525.0,0.0,0.0,13.0,0.0,7.0,69.0,5.0,2870.0,0.0
157,2011,Yaya Touré,0.0,Midfielder,2419.0,0.0,0.0,0.0,0.0,6.0,65.0,6.0,2797.0,0.0
158,2015,John Stones,0.0,Defender,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0,0.0
159,2013,Luke Shaw,0.0,Defender,1402.0,0.0,0.0,13.0,72.0,0.0,0.0,0.0,2490.0,0.0
160,2012,Juan Mata,0.0,Midfielder,1838.0,0.0,0.0,0.0,0.0,12.0,70.0,12.0,2396.0,0.0
161,2011,Juan Mata,0.0,Midfielder,1486.0,0.0,0.0,0.0,0.0,6.0,65.0,13.0,2042.0,0.0
162,2012,Marouane Fellaini,0.0,Midfielder,1627.0,0.0,0.0,0.0,82.0,11.0,90.0,5.0,2207.0,0.0
163,2011,Michel Vorm,0.0,Goalkeeper,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1856.0,0.0
164,2014,Kieran Trippier,0.0,Defender,1681.0,0.0,151.0,0.0,73.0,0.0,0.0,0.0,3162.0,0.0
165,2013,Ben Davies,0.0,Defender,1652.0,0.0,109.0,0.0,76.0,0.0,0.0,0.0,2471.0,0.0
166,2012,Ben Davies,0.0,Defender,1525.0,0.0,167.0,0.0,92.0,0.0,0.0,0.0,2432.0,0.0
167,2014,Erik Lamela,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1766.0,0.0
168,2012,Mousa Dembélé,0.0,Midfielder,1588.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1980.0,0.0
169,2015,Moussa Sissoko,0.0,Midfielder,1385.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2177.0,0.0
170,2013,Moussa Sissoko,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2046.0,0.0
171,2015,Aaron Cresswell,0.0,0,1377.0,0.0,88.0,11.0,0.0,0.0,0.0,4.0,2274.0,0.0
172,2014,Aaron Cresswell,0.0,0,1348.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,2402.0,0.0
173,2016,Adam Smith,0.0,0,1452.0,0.0,0.0,0.0,85.0,0.0,0.0,5.0,2374.0,3099.0
174,2014,Ahmed Elmohamady,0.0,0,1584.0,0.0,0.0,0.0,68.0,0.0,0.0,5.0,2635.0,0.0
175,2013,Ahmed Elmohamady,0.0,0,1751.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,2807.0,0.0
176,2016,Ahmed Elmohamady,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.0,0.0
177,2011,Alexandre Song,0.0,0,2248.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2706.0,0.0
178,2016,Alexis Sánchez,0.0,0,1643.0,8.0,0.0,10.0,0.0,24.0,129.0,10.0,2470.0,3223.0
179,2015,Alexis Sánchez,0.0,0,1434.0,0.0,0.0,0.0,0.0,13.0,107.0,4.0,2179.0,0.0
180,2014,Alexis Sánchez,0.0,0,0.0,0.0,0.0,0.0,69.0,16.0,121.0,8.0,2448.0,0.0
181,2015,Andrew Surman,0.0,0,2287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2707.0,0.0
182,2014,Angel Rangel,0.0,0,1343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,0.0
183,2013,Angel Rangel,0.0,0,1934.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,2782.0,0.0
184,2012,Angel Rangel,0.0,0,1842.0,0.0,144.0,0.0,85.0,0.0,0.0,0.0,2681.0,0.0
185,2011,Angel Rangel,0.0,0,2273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3232.0,0.0
186,2012,Ashley Cole,0.0,0,1316.0,0.0,0.0,13.0,64.0,0.0,0.0,0.0,1998.0,0.0
187,2013,Ashley Westwood,0.0,0,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.0,0.0
188,2016,Ashley Williams,0.0,0,1720.0,0.0,270.0,12.0,0.0,0.0,0.0,0.0,2264.0,3158.0
189,2015,Ashley Williams,0.0,0,1883.0,0.0,314.0,0.0,68.0,0.0,0.0,0.0,2511.0,0.0
190,2014,Ashley Williams,0.0,0,1812.0,0.0,372.0,13.0,0.0,0.0,0.0,0.0,2447.0,0.0
191,2013,Ashley Williams,0.0,0,1936.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,2515.0,0.0
192,2012,Ashley Williams,0.0,0,1916.0,0.0,381.0,10.0,0.0,0.0,0.0,0.0,2591.0,0.0
193,2011,Ashley Williams,0.0,0,2594.0,0.0,296.0,13.0,0.0,0.0,0.0,0.0,3178.0,0.0
